crop,district,year,area_acre,production_mton,avg_rainfall_mm,irrigated_percent,fertilizer_kg_per_acre,tsp_kg_per_acre,urea_kg_per_acre,dap_kg_per_acre
Onion,Dhaka,2012,7110.66,47024.67,2160.8,83.8,241.8,62.5,213.0,54.5
Onion,Dhaka,2013,3341.33,17816.11,2133.0,68.8,68.3,21.4,221.3,34.4
Onion,Dhaka,2014,6943.29,37439.59,2017.7,73.1,79.7,41.0,75.1,28.7
Onion,Dhaka,2015,2718.52,17519.69,2929.2,70.5,89.1,25.5,211.3,49.3
Onion,Dhaka,2016,5567.27,17600.91,2797.6,90.2,133.1,49.6,109.6,42.6
Onion,Dhaka,2017,2480.4,16576.01,2025.9,59.8,182.1,33.9,161.2,12.8
Onion,Dhaka,2018,655.98,4775.7,2014.2,69.1,210.4,20.7,176.7,25.9
Onion,Dhaka,2019,7599.78,37347.36,2727.7,80.3,82.0,42.4,70.5,28.8
Onion,Dhaka,2020,653.38,5598.29,2872.9,40.5,103.2,48.6,89.4,32.7
Onion,Dhaka,2021,4326.39,29587.9,2133.5,65.5,62.1,56.1,77.8,36.4
Onion,Dhaka,2022,3067.41,25282.57,2925.1,92.9,226.7,44.0,46.4,42.4
Onion,Dhaka,2023,2373.8,18108.63,2630.8,91.2,237.9,10.2,201.1,49.5
Onion,Dhaka,2024,6665.73,29778.41,2242.7,81.1,81.3,14.3,128.2,11.4
Onion,Dhaka,2025,6995.42,55323.38,2713.9,76.5,174.7,22.7,98.7,38.5
Onion,Faridpur,2012,5798.39,55234.95,2844.5,70.5,116.5,51.0,197.7,42.3
Onion,Faridpur,2013,6717.27,62969.05,2436.7,62.5,196.4,56.5,75.3,11.9
Onion,Faridpur,2014,6454.91,26695.67,2799.0,86.2,143.9,36.4,137.7,32.4
Onion,Faridpur,2015,2277.36,9317.72,2620.7,92.4,114.4,41.2,133.7,49.0
Onion,Faridpur,2016,5274.35,40546.61,2133.8,87.7,195.3,59.8,202.1,54.1
Onion,Faridpur,2017,4864.46,44257.72,2931.3,86.9,97.9,15.1,158.7,43.8
Onion,Faridpur,2018,2713.43,11029.74,2656.2,49.2,165.4,41.4,101.8,43.2
Onion,Faridpur,2019,7539.47,46710.19,2198.4,90.1,214.7,26.4,181.8,20.3
Onion,Faridpur,2020,3168.83,24679.67,2574.1,63.1,99.1,38.8,158.0,18.3
Onion,Faridpur,2021,7405.55,53165.58,2202.3,65.5,107.6,34.2,136.1,49.4
Onion,Faridpur,2022,4611.46,19525.28,2008.2,63.7,139.6,38.1,48.7,45.5
Onion,Faridpur,2023,1710.01,11248.79,2750.9,48.0,191.3,23.6,159.2,25.1
Onion,Faridpur,2024,6338.46,57187.42,2880.1,63.0,61.4,60.7,52.3,28.2
Onion,Faridpur,2025,2387.77,8400.71,2319.6,41.7,92.7,28.6,203.8,21.3
Onion,Gazipur,2012,2830.81,14922.33,2798.3,68.3,120.4,37.1,209.6,20.1
Onion,Gazipur,2013,7706.34,28487.99,2890.7,93.9,206.7,51.3,211.8,41.0
Onion,Gazipur,2014,5398.34,39533.91,2669.0,64.4,188.3,21.0,112.7,41.1
Onion,Gazipur,2015,4390.37,35868.04,2668.2,42.8,89.2,47.4,46.0,23.3
Onion,Gazipur,2016,5564.89,48494.83,2070.4,87.8,61.0,10.3,68.9,47.9
Onion,Gazipur,2017,667.44,6220.49,2352.9,90.1,83.5,63.3,127.6,23.5
Onion,Gazipur,2018,7760.09,59773.63,2834.8,41.7,195.3,55.9,118.1,25.5
Onion,Gazipur,2019,6496.1,51290.6,2176.0,51.8,66.6,40.1,164.3,22.9
